Distance;Altitude;Easting;Northing;Longitude;Latitude
0;2816.9;2782547.8;1209637.3;9.839729;47.012647
30.3;2809.7;2782518.1;1209631.45;9.839336;47.012603
60.5;2799.6;2782488.4;1209625.6;9.838943;47.012558
83.3;2800.2;2782465.6;1209625.9;9.838644;47.012567
98.5;2795.7;2782450.5;1209627.1;9.838446;47.012582
112.4;2789.7;2782437.6;1209632.3;9.838278;47.012633
124.1;2787.7;2782428.1;1209639.1;9.838156;47.012696
130.7;2786.3;2782423.1;1209643.5;9.838092;47.012737
151.4;2779.4;2782409.6;1209659.2;9.837921;47.012882
177.5;2772.6;2782388;1209673.8;9.837643;47.013019
200.7;2768.8;2782367.55;1209684.7;9.837379;47.013123
223.9;2766.1;2782347.1;1209695.6;9.837114;47.013227
242.5;2759.1;2782337.2;1209711.4;9.83699;47.013371
267;2747.1;2782334.7;1209735.8;9.836967;47.013592
289;2743.5;2782335.63;1209757.78;9.836988;47.013789
311;2738.7;2782336.55;1209779.75;9.837009;47.013986
333;2734.7;2782337.48;1209801.73;9.83703;47.014184
355;2728.6;2782338.4;1209823.7;9.837051;47.014381
377.4;2719.6;2782340.9;1209845.98;9.837093;47.01458
399.8;2707.9;2782343.4;1209868.25;9.837135;47.01478
422.3;2695.8;2782345.9;1209890.53;9.837177;47.01498
444.7;2687.7;2782348.4;1209912.8;9.837219;47.015179
474.6;2675.1;2782354.95;1209942;9.837316;47.01544
504.5;2662.7;2782361.5;1209971.2;9.837414;47.015701
544.9;2642.4;2782381.3;1210006.4;9.837689;47.016012
569.1;2633.1;2782398.9;1210022.98;9.837927;47.016156
593.3;2627.2;2782416.5;1210039.55;9.838165;47.0163
617.4;2618.4;2782434.1;1210056.13;9.838403;47.016444
641.6;2608.4;2782451.7;1210072.7;9.838641;47.016588
667.6;2598.8;2782472.13;1210088.68;9.838916;47.016726
693.5;2587.9;2782492.55;1210104.65;9.839191;47.016864
719.4;2577;2782512.98;1210120.63;9.839466;47.017002
745.3;2568;2782533.4;1210136.6;9.839741;47.01714
776.1;2558.3;2782559.4;1210153;9.840089;47.017281
806.8;2546.6;2782585.4;1210169.4;9.840437;47.017421
831.3;2530.3;2782604.8;1210184.32;9.840699;47.01755
855.8;2517.2;2782624.2;1210199.24;9.84096;47.017679
880.2;2502.3;2782643.6;1210214.16;9.841221;47.017807
904.7;2485.9;2782663;1210229.08;9.841482;47.017936
929.2;2465.6;2782682.4;1210244;9.841743;47.018065
963.2;2452.2;2782704.5;1210269.8;9.842044;47.018291
985;2444.4;2782713.4;1210289.7;9.842169;47.018467
1006.8;2428.7;2782722.3;1210309.6;9.842294;47.018644
1029.4;2419.6;2782723.8;1210332.15;9.842322;47.018846
1052;2404.8;2782725.3;1210354.7;9.842351;47.019048
1073.1;2387.6;2782723.7;1210375.74;9.842339;47.019238
1094.2;2373.9;2782722.1;1210396.78;9.842326;47.019428
1115.3;2363.4;2782720.5;1210417.82;9.842314;47.019617
1136.4;2347.5;2782718.9;1210438.86;9.842301;47.019807
1157.5;2334.2;2782717.3;1210459.9;9.842289;47.019996
1180.2;2317.5;2782711.9;1210481.93;9.842226;47.020196
1202.8;2302.5;2782706.5;1210503.97;9.842164;47.020396
1225.5;2287.9;2782701.1;1210526;9.842102;47.020595
1251.6;2274.3;2782698.6;1210552;9.84208;47.02083
1277.8;2262.5;2782696.1;1210578;9.842057;47.021064
1303.9;2252.2;2782693.6;1210604;9.842035;47.021299
1329.1;2243.9;2782696.5;1210629.1;9.842083;47.021523
1354.4;2232.9;2782699.4;1210654.2;9.842131;47.021748
1375.8;2224.3;2782703.97;1210675.12;9.8422;47.021935
1397.2;2215.6;2782708.53;1210696.03;9.842268;47.022122
1418.6;2208.4;2782713.1;1210716.95;9.842337;47.022309
1440.1;2202.6;2782717.67;1210737.87;9.842405;47.022496
1461.5;2196.6;2782722.23;1210758.78;9.842474;47.022682
1482.9;2190.9;2782726.8;1210779.7;9.842542;47.022869
1504;2183.8;2782735.86;1210798.82;9.842669;47.023039
1525.2;2177.7;2782744.92;1210817.94;9.842796;47.023208
1546.4;2177.3;2782753.98;1210837.07;9.842923;47.023377
1567.5;2174.4;2782763.04;1210856.19;9.84305;47.023547
1588.7;2169.8;2782772.11;1210875.31;9.843176;47.023716
1609.8;2163.3;2782781.17;1210894.43;9.843303;47.023886
1631;2158.6;2782790.23;1210913.56;9.84343;47.024055
1652.2;2154.8;2782799.29;1210932.68;9.843557;47.024225
1673.3;2151.6;2782808.35;1210951.8;9.843684;47.024394
1694.5;2146.2;2782817.41;1210970.92;9.843811;47.024563
1715.6;2141.5;2782826.47;1210990.04;9.843938;47.024733
1736.8;2138.3;2782835.53;1211009.17;9.844064;47.024902
1758;2133.9;2782844.59;1211028.29;9.844191;47.025072
1779.1;2129.8;2782853.66;1211047.41;9.844318;47.025241
1800.3;2125.7;2782862.72;1211066.53;9.844445;47.025411
1821.4;2119.1;2782871.78;1211085.66;9.844572;47.02558
1842.6;2112;2782880.84;1211104.78;9.844699;47.025749
1863.8;2109;2782889.9;1211123.9;9.844825;47.025919
1886;2103.2;2782896.3;1211145.23;9.844918;47.026109
1908.3;2093.8;2782902.7;1211166.55;9.845011;47.026299
1930.6;2082.5;2782909.1;1211187.88;9.845104;47.026489
1952.8;2065.8;2782915.5;1211209.2;9.845197;47.026679
1974.1;2048.8;2782917.9;1211230.38;9.845237;47.026868
1995.4;2037.4;2782920.3;1211251.56;9.845277;47.027058
2016.8;2028;2782922.7;1211272.74;9.845317;47.027248
2038.1;2019.3;2782925.1;1211293.92;9.845357;47.027438
2059.4;2007.6;2782927.5;1211315.1;9.845397;47.027627
2081.7;1997.2;2782932.96;1211336.7;9.845477;47.02782
2104;1987.3;2782938.41;1211358.3;9.845558;47.028013
2126.2;1979.2;2782943.87;1211379.9;9.845638;47.028206
2148.5;1970.6;2782949.33;1211401.5;9.845719;47.028398
2170.8;1958.3;2782954.79;1211423.1;9.845799;47.028591
2193.1;1950.9;2782960.24;1211444.7;9.84588;47.028784
2215.3;1944.4;2782965.7;1211466.3;9.84596;47.028976
2245.6;1936.8;2782969.85;1211496.3;9.846027;47.029245
2275.9;1931.7;2782974;1211526.3;9.846094;47.029514
2306.3;1930.3;2782970.9;1211556.5;9.846065;47.029786
2335.1;1920.3;2782959.3;1211582.9;9.845923;47.030026
2372;1909.4;2782938.6;1211613.4;9.845663;47.030306
2398.6;1908;2782927.1;1211637.4;9.845522;47.030525
2415.5;1898.4;2782928.3;1211654.3;9.845544;47.030677
2446;1881.9;2782948.1;1211677.4;9.845814;47.030879
2471.1;1863.6;2782972.1;1211684.93;9.846133;47.03094
2496.3;1853.2;2782996.1;1211692.45;9.846451;47.031001
2521.4;1843.2;2783020.1;1211699.98;9.84677;47.031062
2546.6;1831.6;2783044.1;1211707.5;9.847089;47.031123
2567.6;1815.9;2783064.13;1211713.77;9.847355;47.031174
2588.5;1795.4;2783084.17;1211720.03;9.847621;47.031225
2609.5;1773.2;2783104.2;1211726.3;9.847887;47.031276
2630.5;1760.8;2783124.23;1211732.57;9.848152;47.031327
2651.5;1752.9;2783144.27;1211738.83;9.848418;47.031377
2672.5;1750.6;2783164.3;1211745.1;9.848684;47.031428
2694.5;1751.8;2783186.28;1211745.98;9.848974;47.03143
2716.5;1743.6;2783208.25;1211746.85;9.849263;47.031432
2738.5;1736.3;2783230.23;1211747.73;9.849552;47.031434
2760.5;1725.3;2783252.2;1211748.6;9.849842;47.031435
2788.3;1710;2783279.6;1211753.6;9.850204;47.031473
2816.2;1695;2783307;1211758.6;9.850566;47.03151
2844;1686.6;2783334.4;1211763.6;9.850929;47.031547
2858;1682.6;2783346.7;1211770.2;9.851093;47.031603
2873;1681.7;2783352.1;1211784.2;9.85117;47.031728
2895.3;1677.9;2783339.65;1211802.75;9.851013;47.031898
2917.7;1675.5;2783327.2;1211821.3;9.850857;47.032068
2939.7;1671.7;2783308.67;1211833.13;9.850618;47.03218
2961.7;1667.6;2783290.13;1211844.97;9.850379;47.032291
2983.6;1663.5;2783271.6;1211856.8;9.850141;47.032403
3019.5;1658.5;2783237.1;1211866.6;9.849691;47.0325
3045.3;1654.7;2783211.33;1211867.53;9.849352;47.032516
3071.1;1651.7;2783185.57;1211868.47;9.849014;47.032531
3096.9;1649.7;2783159.8;1211869.4;9.848675;47.032547
3122.3;1649.4;2783134.6;1211865.6;9.848343;47.03252
3144.7;1650.6;2783112.65;1211861.55;9.848052;47.032489
3167;1655.5;2783090.7;1211857.5;9.847762;47.032459
3207.2;1662.5;2783051.3;1211849.4;9.847241;47.032397
3236.8;1658.9;2783022.5;1211842.8;9.846859;47.032346
3266.5;1659.6;2782993.2;1211837.8;9.846472;47.032309
3295.6;1663.8;2782964.1;1211836.75;9.846089;47.032307
3324.7;1665.4;2782935;1211835.7;9.845706;47.032306
3350;1666.1;2782910.3;1211830.45;9.845379;47.032266
3375.2;1668.2;2782885.6;1211825.2;9.845052;47.032225
3410.4;1671.2;2782851;1211819;9.844594;47.032179
3429.1;1673.7;2782833;1211813.9;9.844356;47.032138
3439.7;1673.2;2782822.9;1211817.3;9.844224;47.032172
3451.5;1672.1;2782816.4;1211827.1;9.844143;47.032261
3466.3;1673.6;2782805.8;1211837.5;9.844008;47.032358
3482.1;1677.6;2782791.4;1211844;9.843821;47.03242
3500.2;1680.6;2782773.6;1211841;9.843586;47.032398
3514;1683.5;2782760.6;1211845.7;9.843416;47.032444
3525.1;1684.9;2782751.2;1211851.5;9.843295;47.032499
3537;1685.8;2782748.3;1211863.1;9.843262;47.032604
3553.7;1686.1;2782743.2;1211879;9.843201;47.032748
3584.1;1690.9;2782725.5;1211903.7;9.842978;47.032975
3605.5;1692.3;2782709;1211917.3;9.842767;47.033102
3623.1;1692.3;2782692.1;1211922.2;9.842547;47.033151
3651.1;1691.2;2782667.7;1211935.9;9.842231;47.033281
3680.4;1689.9;2782644.65;1211954.1;9.841935;47.033451
3709.8;1690.2;2782621.6;1211972.3;9.84164;47.033621
3738.6;1688.2;2782601;1211992.4;9.841377;47.033807
3765.9;1683.5;2782578.6;1212008.1;9.841089;47.033954
3788.4;1683.7;2782557.7;1212016.3;9.840817;47.034034
3810.8;1685.9;2782536.8;1212024.5;9.840546;47.034113
3848.7;1689.4;2782502.3;1212040.1;9.840098;47.034263
3871.6;1692.8;2782479.7;1212043.8;9.839802;47.034303
3895.7;1696.4;2782455.6;1212044.7;9.839486;47.034317
3923.4;1701.5;2782428.1;1212041.6;9.839123;47.034297
3954.4;1706.6;2782397.2;1212039.2;9.838716;47.034284
3980.2;1711.7;2782372.1;1212045.4;9.838388;47.034347
4003.4;1716.7;2782350.1;1212052.55;9.838102;47.034417
4026.5;1721.5;2782328.1;1212059.7;9.837815;47.034487
4066.6;1726.5;2782293.2;1212079.5;9.837364;47.034675
4082.9;1729.5;2782277.5;1212075.1;9.837156;47.03464
4115.7;1733.8;2782244.7;1212075.1;9.836725;47.034649
4133.5;1735.5;2782227.37;1212071.1;9.836495;47.034617
4151.3;1737.9;2782210.03;1212067.1;9.836266;47.034586
4169.1;1739.4;2782192.7;1212063.1;9.836036;47.034555
